datetime,value
2024-06-21 20:52:00,0.0
2024-06-21 20:53:00,3.333
2024-06-21 20:54:00,0.667
2024-06-21 20:55:00,0.667
2024-06-21 20:56:00,0.667
2024-06-21 20:57:00,0.667
2024-06-21 20:58:00,0.667
2024-06-21 20:59:00,0.098
2024-06-21 21:00:00,0.098
2024-06-21 21:01:00,0.098
2024-06-21 21:02:00,0.098
2024-06-21 21:03:00,0.098
2024-06-21 21:04:00,0.098
2024-06-21 21:05:00,0.098
2024-06-21 21:06:00,0.098
2024-06-21 21:07:00,0.098
2024-06-21 21:08:00,0.098
2024-06-21 21:09:00,0.098
2024-06-21 21:10:00,0.098
2024-06-21 21:11:00,0.098
2024-06-21 21:12:00,0.098
2024-06-21 21:13:00,0.098
2024-06-21 21:14:00,0.098
2024-06-21 21:15:00,0.098
2024-06-21 21:16:00,0.098
2024-06-21 21:17:00,0.098
2024-06-21 21:18:00,0.098
2024-06-21 21:19:00,0.098
2024-06-21 21:20:00,0.098
2024-06-21 21:21:00,0.098
2024-06-21 21:22:00,0.098
2024-06-21 21:23:00,0.098
2024-06-21 21:24:00,0.098
2024-06-21 21:25:00,0.098
2024-06-21 21:26:00,0.098
2024-06-21 21:27:00,0.098
2024-06-21 21:28:00,0.098
2024-06-21 21:29:00,0.098
2024-06-21 21:30:00,0.098
2024-06-21 21:31:00,0.098
2024-06-21 21:32:00,0.098
2024-06-21 21:33:00,0.0
2024-06-21 22:48:00,0.0
2024-06-21 22:49:00,3.333
2024-06-21 22:50:00,1.667
2024-06-21 22:51:00,1.667
2024-06-21 22:52:00,1.111
2024-06-21 22:53:00,1.111
2024-06-21 22:54:00,1.111
2024-06-21 22:55:00,3.333
2024-06-21 22:56:00,0.833
2024-06-21 22:57:00,0.833
2024-06-21 22:58:00,0.833
2024-06-21 22:59:00,0.833
2024-06-21 23:00:00,1.667
2024-06-21 23:01:00,1.667
2024-06-21 23:02:00,1.111
2024-06-21 23:03:00,1.111
2024-06-21 23:04:00,1.111
2024-06-21 23:05:00,1.111
2024-06-21 23:06:00,1.111
2024-06-21 23:07:00,1.111
2024-06-21 23:08:00,1.667
2024-06-21 23:09:00,1.667
2024-06-21 23:10:00,3.333
2024-06-21 23:11:00,1.111
2024-06-21 23:12:00,1.111
2024-06-21 23:13:00,1.111
2024-06-21 23:14:00,0.833
2024-06-21 23:15:00,0.833
2024-06-21 23:16:00,0.833
2024-06-21 23:17:00,0.833
2024-06-21 23:18:00,1.667
2024-06-21 23:19:00,1.667
2024-06-21 23:20:00,3.333
2024-06-21 23:21:00,1.667
2024-06-21 23:22:00,1.667
2024-06-21 23:23:00,3.333
2024-06-21 23:24:00,1.111
2024-06-21 23:25:00,1.111
2024-06-21 23:26:00,1.111
2024-06-21 23:27:00,0.556
2024-06-21 23:28:00,0.556
2024-06-21 23:29:00,0.556
2024-06-21 23:30:00,0.556
2024-06-21 23:31:00,0.556
2024-06-21 23:32:00,0.556
2024-06-21 23:33:00,0.667
2024-06-21 23:34:00,0.667
2024-06-21 23:35:00,0.667
2024-06-21 23:36:00,0.667
2024-06-21 23:37:00,0.667
2024-06-21 23:38:00,0.556
2024-06-21 23:39:00,0.556
2024-06-21 23:40:00,0.556
2024-06-21 23:41:00,0.556
2024-06-21 23:42:00,0.556
2024-06-21 23:43:00,0.556
2024-06-21 23:44:00,0.159
2024-06-21 23:45:00,0.159
2024-06-21 23:46:00,0.159
2024-06-21 23:47:00,0.159
2024-06-21 23:48:00,0.159
2024-06-21 23:49:00,0.159
2024-06-21 23:50:00,0.159
